lng,lat
-103.36156,20.6968
-103.428295,20.669171
-103.409562,20.628421
-103.422031,20.629022
-103.436206,20.678568
-103.322444,20.695604
-103.435009,20.729159
-103.4154403,20.6892344
-103.4198536,20.6825398
-103.4295216,20.7316121
-103.405669,20.678173
-103.436261,20.661493
-103.395587,20.713391
-103.331343,20.697685
-103.366207,20.669413
-103.365782,20.672775
-103.375125,20.677587
-103.379151,20.713128
-103.344809,20.71184
-103.448207,20.629892
-103.430938,20.728822
-103.419325,20.639347
-103.430669,20.739637
-103.366942,20.672842
-103.413968,20.730758
-103.394731,20.666638
-103.429519,20.731605
-103.4242783,20.6873389
-103.4548896,20.7316006
-103.415673,20.612263
-103.370621,20.673265
-103.384297,20.663191
-103.373719,20.67413
-103.308135,20.645124
-103.342349,20.698055
-103.430391,20.737
-103.385581,20.672428
-103.401821,20.666507
-103.378321,20.702285
-103.422596,20.687247
-103.363986,20.705862
-103.383337,20.700018
-103.372628,20.684965
-103.390465,20.684682
-103.434909,20.729652
-103.36185,20.648659
-103.378585,20.71254
-103.429519,20.731605
-103.401778,20.650429
-103.401519,20.66314
-103.432575,20.729466
-103.37876,20.702188
-103.377015,20.70348
-103.440394,20.57029
-103.415368,20.691535
-103.3585985,20.6761851
-103.409536,20.711734
-103.373945,20.681879
-103.389657,20.719741
-103.419771,20.68737
-103.443107,20.684961
-103.44704,20.586701
-103.421915,20.626364
-103.349004,20.67804
-103.419899,20.662737
-103.391536,20.684747
-103.401821,20.666507
-103.4199979,20.7433754
-103.385518,20.688558
-103.415341,20.623631
-103.43878,20.730036
-103.36061,20.696993
-103.361265,20.670613
-103.331824,20.696657
-103.347545,20.67436
-103.360442,20.711667
-103.428214,20.637548
-103.380696,20.673864
-103.401778,20.650429
-103.397975,20.745544
-103.441581,20.691717
-103.425101,20.7393
-103.4063213,20.6449944
-103.39894,20.6494
-103.392475,20.674874
-103.364234,20.689117
-103.359617,20.650673
-103.407249,20.665661
-103.452646,20.729903
-103.374736,20.6740057
-103.431787,20.676949
-103.395143,20.685086
-103.406793,20.65488
-103.418798,20.638483
-103.325488,20.68653
-103.314189,20.675896
-103.385106,20.640486
-103.44334,20.630333
-103.431945,20.676806
-103.400634,20.662061
-103.4153272,20.6892954
-103.424392,20.621508
-103.432072,20.677013
-103.358023,20.654751
-103.412477,20.625344
-103.432072,20.677013
-103.346292,20.714097
-103.426802,20.687829
-103.370036,20.675842
-103.412652,20.728277
-103.405706,20.709216
-103.344124,20.661277
-103.418203,20.678403
-103.425668,20.655204
-103.41274,20.710178
-103.33241,20.702465
-103.370055,20.6696348
-103.436501,20.643828
-103.400345,20.662007
-103.381586,20.716253
-103.4432069,20.6948739
-103.430936,20.677466
-103.322501,20.71188
-103.328776,20.692359
-103.356337,20.673902
-103.425604,20.68742
-103.329749,20.706737
-103.44958,20.675736
-103.430271,20.610422
-103.335837,20.696051
-103.315155,20.676286
-103.446828,20.600941
-103.4216504,20.6418251
-103.384836,20.686837
-103.403777,20.638654
-103.329345,20.700719
-103.418656,20.621816
-103.421519,20.655903
-103.371219,20.72273
-103.457501,20.641593
-103.348213,20.678877
-103.378111,20.713832
-103.355373,20.696702
-103.426642,20.689507
-103.356439,20.674206
-103.429514,20.732024
-103.316927,20.673175
-103.378405,20.712372
-103.398392,20.681222
-103.422096,20.661392
-103.381586,20.716253
-103.41417,20.625565
-103.345098,20.720113
-103.342231,20.701912
-103.396188,20.607152
-103.368801,20.667802
-103.349088,20.699265
-103.394514,20.664229
-103.369575,20.686929
-103.381528,20.673166
-103.402007,20.640373
-103.4448,20.588803
-103.391521,20.64032
-103.4129567,20.72655715
-103.419285,20.649099
-103.345967,20.678739
-103.395515,20.714138
-103.430201,20.64935
-103.301188,20.695121
-103.417427,20.689563
-103.382248,20.648596
-103.38509,20.686835
-103.399044,20.660253
-103.3127448,20.6398659
-103.391931,20.634741
-103.445277,20.702029
-103.368514,20.708291
-103.390312,20.721201
-103.423625,20.653283
-103.314108,20.727419
-103.432023,20.674264
-103.423933,20.735727
-103.389173,20.722158
-103.38164,20.745615
-103.410468,20.737762
-103.371467,20.673883
-103.362766,20.697523
-103.380971,20.715778
-103.398785,20.635494
-103.288952,20.696105
-103.368793,20.665164
-103.4656232,20.6250729
-103.394098,20.641114
-103.348364,20.679874
-103.396762,20.684434
-103.326155,20.684492
-103.348287,20.689323
-103.342214,20.702523
-103.424344,20.687203
-103.419002,20.734629
-103.386055,20.697282
-103.3357521,20.6991809
-103.385479,20.681649
-103.383627,20.694873
-103.432575,20.729466
-103.367137,20.681144
-103.368132,20.667717
-103.367189,20.675068
-103.383256,20.699966
-103.404961,20.67362
-103.387131,20.683566
-103.357815,20.672619
-103.368953,20.668542
-103.4437262,20.5883781
-103.368163,20.676149
-103.429519,20.731605
-103.397934,20.69083
-103.3887376,20.7303723
-103.378585,20.71254
-103.421491,20.682259
-103.312441,20.736769
-103.369328,20.673399
-103.422628,20.653883
-103.332561,20.688511
-103.352216,20.668647
-103.3647485,20.7235056
-103.418082,20.688626
-103.4307044,20.6321511
-103.3661533,20.6676233
-103.413248,20.60089
-103.3702388,20.6483771
-103.443962,20.589061
-103.4246833,20.6314198
-103.397771,20.619524
-103.377108,20.6304
-103.384314,20.699856
-103.3832562,20.6999658
-103.3312897,20.7019142
-103.41274,20.710178
-103.430542,20.661679
-103.435727,20.627616
-103.414883,20.61167
-103.4327257,20.6428209
-103.444532,20.730763
-103.412706,20.627125
-103.361035,20.737091
-103.325185,20.705505
-103.406985,20.665318
-103.367599,20.666474
-103.394405,20.666144
-103.41274,20.710178
-103.392507,20.654812
-103.397893,20.636017
-103.395419,20.60942
-103.365916,20.6738906
-103.436603,20.65887
-103.325093,20.652892
-103.424725,20.667234
-103.330464,20.674191
-103.383493,20.66042
-103.430564,20.673517
-103.424593,20.667231
-103.395419,20.60942
-103.3616732,20.6542607
-103.376828,20.702143
-103.3839332,20.6933873
-103.4207103,20.6761895
-103.434507,20.729406
-103.319388,20.719242
-103.390884,20.641143
-103.397414,20.659523
-103.432072,20.677013
-103.4350088,20.7291591
-103.365782,20.672775
-103.431849,20.665128
-103.395884,20.624159
-103.432919,20.687901
-103.334398,20.698984
-103.368086,20.677534
-103.4315125,20.6658684
-103.417839,20.688259
-103.3298741,20.6975983
-103.3635685,20.6741448
-103.368297,20.671944
-103.318918,20.644123
-103.419899,20.743615
-103.376845,20.68716
-103.418562,20.669745
-103.401778,20.650429
-103.40894,20.664968
-103.332762,20.702242
-103.4481516,20.660944
-103.3997,20.663852
-103.412639,20.710552
-103.359517,20.67417
-103.36121,20.678999
-103.43081,20.727538
-103.430534,20.73687
-103.357647,20.707152
-103.374501,20.722056
-103.369331,20.673877
-103.400784,20.615048
-103.376324,20.629993
-103.313136,20.676589
-103.43068,20.73049
-103.430041,20.669238
-103.398535,20.635683
-103.444735,20.5890016
-103.446084,20.585808
-103.381446,20.677528
-103.408805,20.665885
-103.347069,20.675702
-103.404645,20.666695
-103.42113,20.662217
-103.3597035,20.6749723
-103.387263,20.68716
-103.34175,20.6749531
-103.447491,20.586866
-103.406426,20.660677
-103.415806,20.698348
-103.349901,20.674909
-103.364471,20.676049
-103.44837,20.600745
-103.352587,20.674504
-103.347307,20.6735
-103.339934,20.677817
-103.367381,20.679377
-103.3473182,20.6730684
-103.376293,20.701707
-103.3493,20.629396
-103.318037,20.703479
-103.422797,20.65192
-103.343844,20.684644
-103.418853,20.657227
-103.441542,20.659358
-103.4199257,20.6865477
-103.428353,20.645983
-103.367381,20.679377
-103.4053646,20.6390192
-103.371687,20.697675
-103.416865,20.634593
-103.419725,20.638211
-103.426564,20.651208
-103.378386,20.702271
-103.443366,20.684695
-103.439188,20.650801
-103.406071,20.665539
-103.387201,20.68353
-103.372001,20.689271
-103.425251,20.622228
-103.368358,20.673368
-103.401097,20.641899
-103.402518,20.648394
-103.419824,20.685799
-103.33275,20.702403
-103.4269782,20.6860462
-103.433045,20.682923
-103.370072,20.673538
-103.402372,20.667183
-103.376866,20.641495
-103.446074,20.682284
-103.368895,20.674922
-103.432575,20.729466
-103.3785293,20.7232855
-103.4429594,20.68498491
-103.36623,20.680399
-103.43846,20.659017
-103.368873,20.683272
-103.389918,20.640789
-103.4161405,20.6225664
-103.431639,20.6415363
-103.371387,20.666146
-103.367299,20.716709
-103.332175,20.695784
-103.430713,20.672367
-103.428595,20.611268
-103.423973,20.744848
-103.436372,20.658827
-103.385155,20.686613
-103.419804,20.665556
-103.424904,20.738823
-103.332118,20.697075
-103.421002,20.668827
-103.379124,20.702364
-103.428343,20.646028
-103.399959,20.666504
-103.428814,20.689129
-103.41554,20.607209
-103.429519,20.731605
-103.404188,20.63728
-103.367799,20.689978
-103.362757,20.671917
-103.440275,20.730214
-103.328971,20.696554
-103.318933,20.717071
-103.4147304,20.63282
-103.385839,20.648422
-103.4092689,20.6033651
-103.401389,20.603442
-103.3399193,20.6790605
-103.310546,20.650399
-103.3683293,20.7216406
-103.434707,20.72954
-103.360964,20.649345
-103.359968,20.675026
-103.318898,20.644187
-103.447491,20.586866
-103.405902,20.665879
-103.432456,20.683538
-103.4199753,20.6488332
-103.384211,20.699914
-103.39023,20.696748
-103.448049,20.600592
-103.400482,20.652485
-103.411708,20.710174
-103.411535,20.635154
-103.376828,20.702143
-103.3688647,20.6692526
-103.355937,20.647176
-103.365805,20.672719
-103.350126,20.666177
-103.4450723,20.5888852
-103.367912,20.672652
-103.431449,20.729833
-103.393053,20.684416
-103.356971,20.678694
-103.3818876,20.6564727
-103.391707,20.695091
-103.432118,20.677224
-103.367026,20.687764
-103.4200015,20.6878906
-103.412581,20.710441
-103.40178,20.650441
-103.412738,20.627072
-103.347859,20.689142
-103.436372,20.658827
-103.386641,20.690756
-103.415447,20.611661
-103.292191,20.702531
-103.367917,20.671194
-103.394089,20.666258
-103.430246,20.736719
-103.374973,20.679026
-103.355944,20.676384
-103.431787,20.676949
-103.41839,20.690043
-103.429635,20.631455
-103.419285,20.649099
-103.375819,20.712854
-103.429051,20.689208
-103.399581,20.651891
-103.341459,20.702233
-103.441861,20.655981
-103.45244,20.729748
-103.4105569,20.7291449
-103.405058,20.661974
-103.418826,20.656648
-103.31166,20.638807
-103.416976,20.657386
-103.418032,20.678625
-103.414537,20.632623
-103.431581,20.6772137
-103.448916,20.675961
-103.363562,20.741215
-103.41465,20.7102
-103.4126,20.627497
-103.326452,20.695242
-103.431515,20.730248
-103.390748,20.684278
-103.398679,20.603234
-103.37777,20.64171
-103.436955,20.665127
-103.40275,20.706717
-103.418914,20.6568
-103.395618,20.688143
-103.4303781,20.6201293
-103.439676,20.658893
-103.355283,20.697168
-103.455539,20.717841
-103.422107,20.672375
-103.452027,20.729764
-103.375038,20.673364
-103.435328,20.729829
-103.4642427,20.7268608
-103.413263,20.731206
-103.424751,20.739254
-103.363536,20.67162
-103.411708,20.710174
-103.359659,20.671488
-103.430114,20.6389
-103.40496,20.673619
-103.430627,20.6717
-103.404961,20.67362
-103.389665,20.695765
-103.385795,20.699182
-103.4368239,20.6650085
-103.429519,20.731605
-103.428119,20.682088
-103.367267,20.684251
-103.386306,20.644496
-103.376836,20.704338
-103.383493,20.66042
-103.452128,20.577023
-103.425802,20.612887
-103.4527619,20.728809
-103.426397,20.672978
-103.398645,20.603345
-103.294132,20.688676
-103.332015,20.697197
-103.365028,20.675776
-103.320861,20.6171
-103.3254278,20.6532482
-103.393144,20.667069
